message_id,symbol,date,error
15,OCEANUSDT,2021-09-12T19:32:15,No candles returned
65,LINAUSDT,2021-11-05T21:22:51,No candles returned
73,CAKEUSDT,2021-11-08T19:15:00,No candles returned
91,SHIBUSDT,2021-11-15T18:01:51,"Bybit API error: {'retCode': 10001, 'retMsg': 'params error: Symbol Is Invalid', 'result': {}, 'retExtInfo': {}, 'time': 1773860591578}"
95,IOTAUSDT,2021-11-17T15:22:36,No candles returned
271,ALPHAUSDT,2022-02-04T10:30:08,No candles returned
304,UNFIUSDT,2022-02-13T05:15:51,No candles returned
540,SHIBUSDT,2022-04-30T20:52:44,"Bybit API error: {'retCode': 10001, 'retMsg': 'params error: Symbol Is Invalid', 'result': {}, 'retExtInfo': {}, 'time': 1773860711867}"
646,BNXUSDT,2022-06-15T22:52:07,No candles returned
675,SHIBUSDT,2022-06-24T07:20:15,"Bybit API error: {'retCode': 10001, 'retMsg': 'params error: Symbol Is Invalid', 'result': {}, 'retExtInfo': {}, 'time': 1773860739531}"
1031,RLCUSDT,2022-09-24T20:00:15,No candles returned
1112,1000SHIBUSDT,2022-10-18T12:06:55,"Bybit API error: {'retCode': 10001, 'retMsg': 'params error: Symbol Is Invalid', 'result': {}, 'retExtInfo': {}, 'time': 1773860831289}"
1175,RLCUSDT,2022-11-03T20:27:32,No candles returned
1236,RAYUSDT,2022-11-12T22:19:16,No candles returned
1629,SHIBUSDT,2023-03-15T06:37:57,"Bybit API error: {'retCode': 10001, 'retMsg': 'params error: Symbol Is Invalid', 'result': {}, 'retExtInfo': {}, 'time': 1773860953725}"
1656,DEFIUSDT,2023-03-20T19:52:41,"Bybit API error: {'retCode': 10001, 'retMsg': 'params error: Symbol Is Invalid', 'result': {}, 'retExtInfo': {}, 'time': 1773860962145}"
2625,DEFIUSDT,2023-07-13T22:22:07,"Bybit API error: {'retCode': 10001, 'retMsg': 'params error: Symbol Is Invalid', 'result': {}, 'retExtInfo': {}, 'time': 1773861230792}"
2762,AVAUSDT,2023-07-31T14:02:00,No candles returned
