n_targets,trade_count,best_mode,no_ratchet_avg_R,be_only_avg_R,standard_avg_R,skip_tp1_move_avg_R,skip_tp2_move_avg_R,skip_tp3_move_avg_R,lag_2_avg_R,lag_3_avg_R,every_2_tps_avg_R,every_3_tps_avg_R,every_2_from_tp1_avg_R,half_ratchet_avg_R,quarter_ratchet_avg_R,three_quarter_ratchet_avg_R,be_then_lag2_avg_R,be_then_lag3_avg_R,tp2_be_then_standard_avg_R,tp3_be_then_standard_avg_R,skip_every_other_after_be_avg_R,aggressive_plus1_avg_R,two_steps_forward_avg_R
2,1,no_ratchet,0.944,0.084,0.084,0.944,0.084,0.084,0.944,0.944,0.944,0.944,0.084,0.514,0.729,0.299,0.084,0.084,0.944,0.944,0.084,0.084,0.084
4,18,no_ratchet,0.3188,-0.3285,-0.1468,0.047,-0.2397,-0.1875,0.2855,0.3188,-0.0418,0.2855,-0.2397,-0.0703,-0.032,-0.1086,-0.2804,-0.3285,0.047,0.2855,-0.2397,-0.0751,-0.1875
5,56,no_ratchet,0.7365,0.1526,0.1365,0.5577,0.1554,0.1341,0.7084,0.659,0.6499,0.6232,0.1666,0.4155,0.5194,0.2402,0.2205,0.2116,0.5577,0.6222,0.1666,0.1449,0.1225
6,221,no_ratchet,1.0695,0.3767,0.3165,0.6928,0.3875,0.3303,0.8663,0.9088,0.7225,0.7967,0.4103,0.5376,0.6463,0.4621,0.4158,0.4155,0.6928,0.847,0.4103,0.4132,0.3392
7,243,no_ratchet,1.56,0.5886,0.4803,0.7211,0.4529,0.4527,1.0588,1.3314,0.7418,1.1686,0.4415,0.5998,0.6635,0.5392,0.4226,0.5086,0.7211,1.0117,0.4415,0.6566,0.4511
8,249,no_ratchet,1.1704,0.3179,0.3495,0.5865,0.332,0.3466,0.753,0.9107,0.5678,0.7593,0.316,0.4871,0.5132,0.4489,0.305,0.3035,0.5865,0.785,0.316,0.4667,0.3453
9,104,tp3_be_then_standard,202.4635,201.4824,201.4649,201.7104,201.415,201.4702,201.8868,202.1,201.5947,201.9685,201.438,201.6169,201.6512,201.5475,201.4263,201.3822,201.7104,207.5968,201.438,201.5456,201.4771
10,70,no_ratchet,4.7838,4.0811,4.1402,4.3157,4.1515,4.1193,4.3678,4.5186,4.2176,4.4446,4.0666,4.2057,4.1938,4.1905,4.0457,4.036,4.3157,4.4349,4.0666,4.1725,4.0592
11,16,no_ratchet,0.7936,0.2481,0.3222,0.3998,0.3986,0.3004,0.3623,0.4753,0.2692,0.3168,0.3558,0.3878,0.3846,0.3966,0.3011,0.2436,0.3998,0.3937,0.3558,0.4412,0.2708
12,18,no_ratchet,0.9582,0.1142,0.2684,0.2406,0.1296,0.2659,0.5762,0.492,0.2844,0.4094,0.1342,0.2556,0.2318,0.2955,0.1794,0.1534,0.2406,0.5785,0.1342,0.3162,0.2697
13,1,no_ratchet,0.9843,0.0943,0.5971,0.7406,0.7406,0.5971,0.6232,0.0943,0.7522,0.0943,0.7406,0.8167,0.7844,0.8489,0.7522,0.6232,0.7406,0.8812,0.7406,0.7362,0.5971
14,8,no_ratchet,1.0659,0.2934,0.5768,0.4756,0.4756,0.5939,0.5341,0.8714,0.3965,0.6461,0.4541,0.4787,0.4258,0.5496,0.4323,0.3364,0.4756,0.7505,0.4541,0.7001,0.5693
